Horizon started successfully.
Horizon started successfully.
[2019-05-18 06:01:22][3261] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:01:22][3262] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:01:26][3262] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:01:26][3263] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:01:32][3263] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:01:32][3264] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:01:39][3264] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:01:39][3265] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:01:44][3265] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:01:44][3266] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:01:49][3266] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:01:49][3267] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:01:54][3267] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:01:54][3268] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:01:59][3268] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:01:59][3269] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:02:04][3269] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:02:04][3270] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:02:09][3270] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:02:09][3271] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:02:15][3271] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:02:15][3272] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:02:21][3272] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:02:21][3273] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:02:26][3273] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:02:26][3274] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:02:31][3274] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:02:31][3275] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:02:37][3275] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:02:37][3276] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:02:43][3276] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:02:43][3277] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:02:49][3277] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:02:49][3278] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:02:55][3278] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:02:55][3279] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:03:02][3279] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:03:02][3280] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:03:09][3280] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:03:09][3281] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:03:15][3281] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:03:15][3282] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:03:19][3282] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 07:00:06][3284] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 07:00:07][3284] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 07:00:07][3285] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 07:00:09][3285] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 07:00:09][3286] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 07:00:10][3320] Processing: App\Jobs\ProcessWalletTransactionJob
[2019-05-18 07:00:10][3286] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 07:00:10][3287] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 07:00:11][3320] Processing: App\Jobs\ProcessWalletTransactionJob
[2019-05-18 07:00:12][3320] Processing: App\Jobs\ProcessWalletTransactionJob
[2019-05-18 07:00:12][3320] Failed:     App\Jobs\ProcessWalletTransactionJob
[2019-05-18 07:00:14][3287] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 07:00:14][3288] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 07:00:20][3288] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 07:00:20][3289] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 07:00:25][3289] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 07:00:25][3290] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 07:00:32][3290] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 07:00:32][3291] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 07:00:41][3291] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 07:00:41][3292] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 07:00:46][3292] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 07:00:46][3293] Processing: App\Jobs\ProcessWalletJournalJob
